Model,RMSE,RRMSE,KGE,R2
Gradient Boosting,130.79348324087968,41.37219012983545,0.616110140984094,0.598435743912618
XGBoost,141.56777888255337,44.78028200687065,0.5686218564070975,0.529551949318914
Elastic Net,128.52649611751298,40.655103773804356,0.6956538963833684,0.6122353874596692
SVM,139.92744593158332,42.85573709404679,0.7153975029426591,0.5370580525254591
Polynomial Regression,146.69528292323506,46.402198227817955,0.6215917530557398,0.49485607441605606
Neural Network,151.29146199920433,47.856047379090796,0.6352924846510731,0.46270638925642005
